track_id,genre_id,genre_title,genre_parent_id
148,1,Avant-Garde,38.0
182,27,Lo-Fi,12.0
256,31,Metal,12.0
368,89,Post-Punk,25.0
424,1,Avant-Garde,38.0
459,36,Krautrock,12.0
574,25,Punk,12.0
615,41,Electroacoustic,38.0
666,79,Reggae - Dub,2.0
667,79,Reggae - Dub,2.0
704,46,Latin America,2.0
705,46,Latin America,2.0
706,46,Latin America,2.0
707,46,Latin America,2.0
708,46,Latin America,2.0
709,46,Latin America,2.0
825,45,Loud-Rock,12.0
825,58,Psych-Rock,12.0
825,66,Indie-Rock,12.0
890,49,Free-Folk,17.0
892,49,Free-Folk,17.0
897,32,Noise,38.0
995,32,Noise,38.0
997,32,Noise,38.0
998,32,Noise,38.0
1039,53,Noise-Rock,45.0
1040,53,Noise-Rock,45.0
1066,22,Audio Collage,38.0
1069,22,Audio Collage,38.0
1073,22,Audio Collage,38.0
1075,22,Audio Collage,38.0
1083,1,Avant-Garde,38.0
1249,32,Noise,38.0
1259,32,Noise,38.0
1270,25,Punk,12.0
1276,22,Audio Collage,38.0
1277,22,Audio Collage,38.0
1278,22,Audio Collage,38.0
1443,47,Drone,38.0
1510,32,Noise,38.0
1544,33,Psych-Folk,17.0
1673,30,Field Recordings,38.0
1720,58,Psych-Rock,12.0
1929,1,Avant-Garde,38.0
1930,98,Progressive,12.0
2012,32,Noise,38.0
2099,76,Experimental Pop,10.0
3532,76,Experimental Pop,10.0
3533,76,Experimental Pop,10.0
3534,76,Experimental Pop,10.0
3535,76,Experimental Pop,10.0
3537,76,Experimental Pop,10.0
3538,76,Experimental Pop,10.0
3624,89,Post-Punk,25.0
3720,53,Noise-Rock,45.0
3720,58,Psych-Rock,12.0
3721,53,Noise-Rock,45.0
3721,58,Psych-Rock,12.0
3722,53,Noise-Rock,45.0
3722,58,Psych-Rock,12.0
3724,53,Noise-Rock,45.0
3724,58,Psych-Rock,12.0
3725,53,Noise-Rock,45.0
3725,58,Psych-Rock,12.0
3761,26,Post-Rock,12.0
3762,26,Post-Rock,12.0
3763,26,Post-Rock,12.0
3765,26,Post-Rock,12.0
3766,26,Post-Rock,12.0
3775,46,Latin America,2.0
3775,117,Polka,2.0
3776,46,Latin America,2.0
3776,117,Polka,2.0
3777,46,Latin America,2.0
3777,117,Polka,2.0
3778,46,Latin America,2.0
3778,117,Polka,2.0
3779,46,Latin America,2.0
3779,117,Polka,2.0
3895,118,Balkan,2.0
3896,118,Balkan,2.0
3950,85,Garage,12.0
